iter	RMSE
0	352421.8251
1	348655.5523
2	344903.3732
3	341324.9395
4	337758.5316
5	334177.6257
6	330915.5473
7	327435.1318
8	324082.6432
9	320850.2302
10	317500.5137
11	314412.5091
12	311445.6299
13	308504.7921
14	305517.3162
15	302532.5241
16	299615.1609
17	296680.8593
18	293776.9223
19	291006.3659
20	288243.7709
21	285589.3894
22	282913.7268
23	280322.6057
24	277832.7234
25	275249.399
26	272775.909
27	270401.0162
28	268126.3429
29	265794.8068
30	263573.9852
31	261300.6543
32	259118.4342
33	256996.2491
34	254818.1459
35	252664.9056
36	250594.0936
37	248515.61
38	246575.9716
39	244573.6766
40	242565.4997
41	240624.3883
42	238741.3363
43	236924.1112
44	235079.0543
45	233258.8639
46	231577.1356
47	229915.203
48	228225.1046
49	226500.0498
50	224944.1785
51	223318.6202
52	221772.9914
53	220226.6426
54	218670.2864
55	217144.2936
56	215651.4871
57	214213.799
58	212813.823
59	211413.4383
60	209991.0401
61	208723.9832
62	207414.0701
63	206149.4956
64	204930.0966
65	203602.1395
66	202295.8574
67	201024.8337
68	199826.7314
69	198691.625
70	197514.9658
71	196418.0125
72	195330.5139
73	194227.583
74	193181.2464
75	192081.4033
76	191025.4603
77	190021.1788
78	188948.0658
79	187947.9702
80	186951.8209
81	186001.2858
82	185019.3946
83	184003.978
84	183070.7095
85	182152.6381
86	181259.6511
87	180452.7098
88	179591.4553
89	178749.6807
90	177908.2774
91	177061.7981
92	176273.4409
93	175495.1448
94	174724.9082
95	173951.4752
96	173162.8105
97	172403.6243
98	171737.7604
99	170981.4214
100	170273.9387
101	169545.2905
102	168828.2585
103	168062.6833
104	167485.3101
105	166795.6834
106	166139.0335
107	165457.7714
108	164840.0731
109	164186.4487
110	163584.499
111	162969.4266
112	162360.9151
113	161817.554
114	161221.8605
115	160640.1055
116	160086.1056
117	159525.1986
118	158951.8959
119	158475.6486
120	157979.7839
121	157386.2061
122	156877.5396
123	156340.2577
124	155900.3273
125	155415.8942
126	154941.9726
127	154449.4552
128	153990.9177
129	153542.5304
130	153070.7164
131	152602.5172
132	152177.3863
133	151716.535
134	151275.3166
135	150867.9178
136	150456.3486
137	150027.9951
138	149621.6587
139	149211.9673
140	148849.5363
141	148452.8078
142	148087.5794
143	147679.2271
144	147362.2116
145	147001.7869
146	146631.9734
147	146282.5853
148	145920.1355
149	145551.9739
150	145204.5795
151	144904.2476
152	144576.4766
153	144179.5347
154	143786.6362
155	143436.201
156	143130.4935
157	142846.3171
158	142549.8895
159	142265.5863
160	141965.9098
161	141695.3817
162	141409.7659
163	141144.477
164	140840.2779
165	140601.5305
166	140347.1332
167	140127.8739
168	139873.7105
169	139612.5877
170	139377.6404
171	139128.7986
172	138880.9654
173	138641.3953
174	138364.6897
175	138094.3401
176	137858.6023
177	137606.6941
178	137364.814
179	137129.8914
180	136863.9583
181	136635.6562
182	136394.0678
183	136198.7091
184	135994.2088
185	135817.6734
186	135642.2554
187	135413.7101
